book,chapter,verse,orderby,masoretic,retroverted,lxx,potential_difference
Job,1,5,91,•^[Element 'added' in the Greek (plus in the LXX).] •^[Long minus or plus (at least four lines).],לחטאת,περι αμαρτιας,True
Job,1,5,92,•^[Element 'added' in the Greek (plus in the LXX).] •^[Long minus or plus (at least four lines).],על,περι,True
Job,1,5,93,•^[Element 'added' in the Greek (plus in the LXX).] •^[Long minus or plus (at least four lines).],נפשותם,των ψυχων αυτων,True
Job,1,5,94,כי,,{..γαρ},False
Job,1,5,95,אמר,,ελεγεν,False
Job,1,5,96,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,γαρ,False
Job,1,5,97,איוב,,ιωβ,False
Job,1,5,98,אולי,,μηποτε,False
Job,1,5,99,חטאו,,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",False
Job,1,5,100,בני,,οι υιοι μου,False
Job,1,5,101,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,εν τη διανοια αυτων,False
Job,1,5,102,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.] חטאו וברכו",,κακα ενενοησαν,False
Job,1,5,103,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,προς,False
Job,1,5,104,אלהים,,•^[Preposition added in the LXX in accordance with the rules of the Greek language or translational habits.] προς θεον,False
Job,1,5,105,בלבבם,,{..εν τη διανοια αυτων},False
Job,1,5,106,ככה,,ουτως ουν,False
Job,1,5,107,יעשה,,εποιει,False
Job,1,5,108,איוב,,ιωβ,False
Job,1,5,109,כל,,πασας,False
Job,1,5,110,הימים,,τας ημερας,False
Job,1,6,111,ויהי,,και ως εγενετο,False
Job,1,6,112,היום,,η ημερα,False
Job,1,6,113,•^[Element 'added' in the Greek (plus in the LXX).],,αυτη,True
Job,1,6,114,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,και,False
Job,1,6,115,•^[Element 'added' in the Greek (plus in the LXX).],,ιδου,True
Job,1,6,116,ויבאו,,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.] και ηλθον",False
Job,1,6,117,בני,,οι αγγελοι,False
Job,1,6,118,האלהים,,του θεου,False
Job,1,6,119,להתיצב,,παραστηναι,False
Job,1,6,120,על,,ενωπιον,False
Job,1,6,121,יהוה,,του κυριου,False
Job,1,6,122,ויבוא גם,,και {..ηλθεν},False
Job,1,6,123,השטן,,ο διαβολος,False
Job,1,6,124,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,ηλθεν,False
Job,1,6,125,בתוכם,,μετ' αυτων,False
Job,1,7,126,ויאמר,,και ειπεν,False
Job,1,7,127,יהוה,,ο κυριος,False
Job,1,7,128,אל השטן,,τω διαβολω,False
Job,1,7,129,מאין,,ποθεν,False
Job,1,7,130,תבא,,παραγεγονας,False
Job,1,7,131,ויען,,και αποκριθεις,False
Job,1,7,132,השטן,,ο διαβολος,False
Job,1,7,133,את יהוה,,τω κυριω,False
Job,1,7,134,ויאמר,,ειπεν,False
Job,1,7,135,"משוט •^[Equivalent reflected elsewhere in the text, disregarded by indexing program.] ב",,περιελθων,False
Job,1,7,136,בארץ,,•^[Greek preverb representing Hebrew preposition.] την γην,False
Job,1,7,137,ומהתהלך,,και εμπεριπατησας,False
Job,1,7,138,בה,בארץ בא .hא,την υπ' ουρανον παρειμι,True
Job,1,8,139,ויאמר,,και ειπεν,False
Job,1,8,140,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,αυτω,False
Job,1,8,141,יהוה,,ο κυριος,False
Job,1,8,142,אל השטן,,{..αυτω},False
Job,1,8,143,השמת,,προσεσχες,False
Job,1,8,144,לבך,,τη διανοια σου,False
Job,1,8,145,על,,κατα,False
Job,1,8,146,עבדי,,του παιδος μου,False
Job,1,8,147,איוב,,ιωβ,False
Job,1,8,148,כי,,οτι,False
Job,1,8,149,אין,,ουκ εστιν,False
Job,1,8,150,כמהו,,κατ' αυτον,False
Job,1,8,151,בארץ,,των επι της γης,False
Job,1,8,152,איש,,ανθρωπος,False
Job,1,8,153,תם,,αμεμπτος,False
Job,1,8,154,וישר,,αληθινος,False
Job,1,8,155,ירא אלהים,,θεοσεβης,False
Job,1,8,156,וסר,,απεχομενος,False
Job,1,8,157,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,απο,False
Job,1,8,158,•^[Element 'added' in the Greek (plus in the LXX).],,παντος,True
Job,1,8,159,מרע,,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.] απο πονηρου πραγματος",False
Job,1,9,160,ויען,,απεκριθη δε,False
Job,1,9,161,השטן,,ο διαβολος,False
Job,1,9,162,את,,•^[Equivalent of the Hebrew or Greek word(s) occurring elsewhere in the verse or context (transposition).],False
