book,chapter,verse,orderby,masoretic,retroverted,lxx,potential_difference
Ps,16,4,1481,בל,,ου μη [15.4],False
Ps,16,4,1482,אסיך •^[Etymological exegesis.] כנסa •^[Interchange of consonants between MT and the presumed Hebrew parent text of the LXX (metathesis.)],,συναγαγω [15.4],False
Ps,16,4,1483,נסכיהם •^[Etymological exegesis.] כנסa •^[Interchange of consonants between MT and the presumed Hebrew parent text of the LXX (metathesis.)],,τας συναγωγας αυτων [15.4],False
Ps,16,4,1484,מדם,,εξ αιματων [15.4],False
Ps,16,4,1485,ובל,,ουδε μη [15.4],False
Ps,16,4,1486,אשא,,μνησθω [15.4],False
Ps,16,4,1487,את שמותם,,των ονοματων αυτων [15.4],False
Ps,16,4,1488,על,,δια [15.4],False
Ps,16,4,1489,שפתי,,χειλεων μου [15.4],False
Ps,16,5,1490,יהוה,,κυριος [15.5],False
Ps,16,5,1491,מנת,,η μερις [15.5],False
Ps,16,5,1492,חלקי,,της κληρονομιας μου [15.5],False
Ps,16,5,1493,וכוסי,,και του ποτηριου μου [15.5],False
Ps,16,5,1494,אתה,,συ ει [15.5],False
Ps,16,5,1495,תומיך,,ο αποκαθιστων [15.5],False
Ps,16,5,1496,גורלי,,την κληρονομιαν μου [15.5],False
Ps,16,5,1497,•^[Element 'added' in the Greek (plus in the LXX).],,εμοι [15.5],True
Ps,16,6,1498,חבלים,,σχοινια [15.6],False
Ps,16,6,1499,נפלו,,επεπεσαν [15.6],False
Ps,16,6,1500,לי,,μοι [15.6],False
Ps,16,6,1501,בנעמים,,εν τοις κρατιστοις [15.6],False
Ps,16,6,1502,אף,,και γαρ [15.6],False
Ps,16,6,1503,נחלת,,η κληρονομια μου [15.6],False
Ps,16,6,1504,שפרה,,κρατιστη [15.6],False
Ps,16,6,1505,עלי,,μοι εστιν [15.6],False
Ps,16,7,1506,אברך,,ευλογησω [15.7],False
Ps,16,7,1507,את יהוה,,τον κυριον [15.7],False
Ps,16,7,1508,אשר,,τον [15.7],False
Ps,16,7,1509,יעצני,,συνετισαντα με [15.7],False
Ps,16,7,1510,אף,"•^[Questionable notation, equivalent, etc.] עד","ετι δε {d •^[Questionable notation, equivalent, etc.] } και εως [15.7]",True
Ps,16,7,1511,לילות,,νυκτος [15.7],False
Ps,16,7,1512,יסרוני,,επαιδευσαν με [15.7],False
Ps,16,7,1513,כליותי,,οι νεφροι μου [15.7],False
Ps,16,8,1514,שויתי,,προωρωμην [15.8],False
Ps,16,8,1515,יהוה,,τον κυριον [15.8],False
Ps,16,8,1516,לנגדי,,ενωπιον μου [15.8],False
Ps,16,8,1517,תמיד,,δια παντος [15.8],False
Ps,16,8,1518,כי,,"οτι •^[Equivalent reflected elsewhere in the text, disregarded by indexing program.] εστιν [15.8]",False
Ps,16,8,1519,מימיני,,εκ δεξιων μου [15.8],False
Ps,16,8,1520,"•^[Equivalent reflected elsewhere in the text, disregarded by indexing program.]",,εστιν [15.8],False
Ps,16,8,1521,בל,,ινα μη [15.8],False
Ps,16,8,1522,אמוט,,σαλευθω [15.8],False
Ps,16,9,1523,לכן,,δια τουτο [15.9],False
Ps,16,9,1524,שמח,,ηυφρανθη [15.9],False
Ps,16,9,1525,לבי,,η καρδια μου [15.9],False
Ps,16,9,1526,ויגל,,και ηγαλλιασατο [15.9],False
Ps,16,9,1527,כבודי,"•^[Questionable notation, equivalent, etc.] •^[Questionable notation, equivalent, etc.]",η γλωσσα μου [15.9],True
Ps,16,9,1528,אף,,"ετι δε {d •^[Questionable notation, equivalent, etc.] } και [15.9]",False
Ps,16,9,1529,בשרי,,η σαρξ μου [15.9],False
Ps,16,9,1530,ישכן,,κατασκηνωσει [15.9],False
